Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)",Total Fat (g),Cholesterol (mg),Iron (mg),Potassium (mg),Sodium (mg)
Corn syrup,"Jams, syrups, toppings",283,0,76.79,76.77,0.2,0,0,1,62
Blueberry syrup,"Jams, syrups, toppings",341,0,85.13,53,0,0,0.04,7,0
Chocolate syrup,"Jams, syrups, toppings",269,0,67.21,60,0,0,0,122,150
Honey,Sugars and honey,304,0.3,82.4,82.12,0,0,0.42,52,4
Jelly,"Jams, syrups, toppings",266,0.15,69.95,51.22,0.02,0,0.19,54,30
Jam,"Jams, syrups, toppings",278,0.37,68.86,48.5,0.07,0,0.49,77,32
Marmalade,"Jams, syrups, toppings",246,0.3,66.3,60,0,0,0.15,37,56
Gelatin dessert,"Gelatins, ices, sorbets",60,1.22,14.19,13.49,0,0,0.02,1,75
Popsicle,"Gelatins, ices, sorbets",79,0,19.23,13.66,0.24,0,0.54,15,7
Chocolate chips,Candy containing chocolate,480,4.2,63.9,54.5,30,0,3.13,365,11
"Candy, licorice",Candy not containing chocolate,396,0,98.9,58.97,0,0,0.4,5,44
"Candy, marshmallow",Candy not containing chocolate,318,1.8,81.3,57.56,0.2,0,0.23,5,80
"Candy, caramel",Candy not containing chocolate,384,3.1,82.36,60.91,5.7,4,0.47,165,144
"Candy, nougat with nuts",Candy not containing chocolate,444,8.38,72.64,42.64,13.34,0,1.25,415,132
"Peanuts, chocolate covered candy",Candy containing chocolate,556,14.33,44.14,32.86,37.66,14,2.04,477,50
"Candy, peanut brittle",Candy not containing chocolate,486,7.57,71.24,51.33,18.98,12,1.22,168,445
"Candy, mint",Candy not containing chocolate,394,0,98.3,31.45,0.1,0,0.15,2,19
"Candy, gummy",Candy not containing chocolate,396,0,98.9,58.97,0,0,0.4,5,44
"Candy, hard",Candy not containing chocolate,394,0,98,62.9,0.2,0,0.3,5,38
"Candy, lollipop",Candy not containing chocolate,394,0,98,62.9,0.2,0,0.3,5,38
Cough drops,Candy not containing chocolate,394,0,98.3,31.45,0.1,0,0.15,2,19
"Candy, cotton",Candy not containing chocolate,401,0,99.6,99.8,0.32,0,0.05,2,1
"Candy, taffy",Candy not containing chocolate,390,0.2,87.88,73.51,4.12,0,0.01,3,6
Chewing gum,Candy not containing chocolate,360,0,96.7,66.08,0.3,0,0,2,1
"Coffee, NS as to type",Coffee,1,0.12,0,0,0.02,0,0.01,49,2
"Tea, hot, leaf, black",Tea,1,0,0.3,0,0,0,0.02,37,3
"Tea, hot, leaf, green",Tea,1,0.22,0,0,0,0,0.02,8,1
Corn beverage,Smoothies and grain drinks,44,0.84,9.4,0.19,0.21,0,0.49,16,135
"Tea, hot, chamomile",Tea,1,0,0.2,0,0,0,0.08,9,1
"Soft drink, NFS",Soft drinks,42,0,10.36,9.94,0.25,0,0.02,5,3
"Water, tonic",Flavored or carbonated water,34,0,8.8,8.8,0,0,0.01,0,12
"Soft drink, cola",Soft drinks,42,0,10.36,9.94,0.25,0,0.02,5,3
"Pina Colada, nonalcoholic",Fruit drinks,128,0.47,25.64,23.17,2.79,0,0.26,116,8
"Margarita mix, nonalcoholic",Fruit drinks,87,0.1,21.4,21.4,0.1,0,0.11,28,102
Slush frozen drink,Fruit drinks,28,0,7.68,7.68,0.02,0,0,0,10
Sugar cane beverage,Fruit drinks,74,0,20.17,20.17,0,0,0.1,11,43
Cornmeal beverage,Smoothies and grain drinks,86,1.69,16.28,13.87,1.54,5,0.17,74,18
"Wine, nonalcoholic",Fruit drinks,6,0.5,1.1,1.1,0,0,0.4,88,7
Nonalcoholic malt beverage,Fruit drinks,37,0.21,8.05,8.05,0.12,0,0.06,8,13
Shirley Temple,Fruit drinks,56,0,14.17,12.55,0,0,0.17,4,9
Beer,Beer,43,0.46,3.55,0,0,0,0.02,27,4
"Water, NFS",Tap water,0,0,0,0,0,0,0,0,3
Energy Drink,Sport and energy drinks,43,0.46,10.23,10.22,0,0,0.06,3,39
"Sports drink, NFS",Sport and energy drinks,26,0,6.43,5.24,0,0,0.05,15,39
