Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)",Total Fat (g),Cholesterol (mg),Iron (mg),Potassium (mg),Sodium (mg)
"Plum, raw",Other fruits and fruit salads,46,0.7,11.42,9.92,0.28,0,0.17,157,0
"Pomegranate, raw",Other fruits and fruit salads,83,1.67,18.7,13.67,1.17,0,0.3,236,3
Rhubarb,Other fruits and fruit salads,73,0.81,17.45,14.4,0.22,0,0.2,233,4
Tamarind,Other fruits and fruit salads,239,2.8,62.5,38.8,0.6,0,2.8,628,28
"Watermelon, raw",Melons,30,0.61,7.55,6.2,0.15,0,0.24,112,1
"Berries, NFS",Blueberries and other berries,42,0.67,9.69,6.73,0.25,0,0.28,85,7
"Blackberries, raw",Blueberries and other berries,43,1.39,9.61,4.88,0.49,0,0.62,162,1
"Blueberries, raw",Blueberries and other berries,57,0.74,14.49,9.96,0.33,0,0.28,77,1
Blueberry pie filling,"Jams, syrups, toppings",181,0.41,44.38,37.75,0.2,0,0.8,115,12
"Cranberries, raw",Blueberries and other berries,46,0.46,11.97,4.27,0.13,0,0.23,80,2
"Raspberries, raw",Blueberries and other berries,52,1.2,11.94,4.42,0.65,0,0.69,151,1
"Strawberries, raw",Strawberries,35,0.64,7.63,5.34,0.22,0,0.28,89,10
Ambrosia,Other fruits and fruit salads,72,0.83,16.19,12.38,0.96,0,0.19,193,1
"Guacamole, NFS","Dips, gravies, other sauces",155,1.95,8.45,0.72,14.18,0,0.54,472,344
Chutney,Mustard and other condiments,246,0.33,60.6,42.68,0.06,0,0.43,68,802
Pineapple salad with dressing,Other fruits and fruit salads,96,0.58,11.9,8.94,5.71,3,0.29,103,49
Sorbet,"Gelatins, ices, sorbets",110,0.79,27.12,25.78,0.05,0,0.17,28,13
Apple cider,Apple juice,46,0.1,11.3,9.62,0.13,0,0.12,101,4
"Blackberry juice, 100%",Other fruit juice,38,0.3,7.8,7.7,0.6,0,0.48,135,1
Blueberry juice,Other fruit juice,37,0.48,9.42,6.47,0.21,0,0.18,50,2
"Cranberry juice, 100%, not a blend",Other fruit juice,32,0,7.26,3.41,0.34,0,0.13,71,6
"Grape juice, 100%",Other fruit juice,66,0.18,15.73,14.24,0.28,0,0.08,50,6
"Grape juice, 100%, with calcium added",Other fruit juice,62,0.37,14.77,14.2,0.13,0,0.25,104,5
"Papaya juice, 100%",Other fruit juice,57,0.17,14.51,13.91,0.15,0,0.34,31,5
"Passion fruit juice, 100%",Other fruit juice,51,0.39,13.6,13.4,0.05,0,0.24,278,6
"Pineapple juice, 100%",Other fruit juice,53,0.36,12.87,9.98,0.12,0,0.31,130,2
"Pomegranate juice, 100%",Other fruit juice,54,0.15,13.13,12.65,0.29,0,0.1,214,9
"Prune juice, 100%",Other fruit juice,71,0.61,17.45,16.45,0.03,0,1.18,276,4
"Strawberry juice, 100%",Other fruit juice,38,0.3,7.8,7.7,0.6,0,0.48,135,1
"Watermelon juice, 100%",Other fruit juice,30,0.61,7.55,6.2,0.15,0,0.24,112,1
"Fruit nectar, NFS",Fruit drinks,51,0.11,13.12,12.45,0.06,0,0.36,24,5
Apricot nectar,Fruit drinks,56,0.17,13.63,12.79,0.45,0,0.1,67,8
Banana nectar,Fruit drinks,74,0.26,18.01,15.51,0.13,0,0,115,2
Cantaloupe nectar,Fruit drinks,65,0.33,15.64,15.55,0.11,0,0.16,57,13
Guava nectar,Fruit drinks,48,0.3,13.3,10.15,0.07,0,0.54,33,6
Mango nectar,Fruit drinks,51,0.11,13.12,12.45,0.06,0,0.36,24,5
Peach nectar,Fruit drinks,49,0.1,11.61,12.08,0.57,0,0.07,30,11
Papaya nectar,Fruit drinks,57,0.17,14.51,13.91,0.15,0,0.34,31,5
Passion fruit nectar,Fruit drinks,69,0.16,17.39,17.34,0.06,0,0.1,112,4
Pear nectar,Fruit drinks,60,0.11,15.76,15.16,0.01,0,0.26,13,4
"Soursop, nectar",Fruit drinks,59,0.11,14.93,13.07,0.17,0,0.36,25,8
Vinegar,Mustard and other condiments,21,0,0.93,0.4,0,0,0.2,73,5
"Potato, NFS","White potatoes, baked or boiled",126,1.87,20.45,1.62,4.25,3,0.34,372,166
"Potato chips, NFS",Potato chips,532,6.39,53.83,0.33,33.98,0,1.28,1196,527
"Plantain, cooked, no added fat",Other starchy vegetables,122,1.3,31.8,17.46,0.35,0,0.55,486,120
"Cassava, cooked",Other starchy vegetables,191,1.42,39.62,1.78,3.03,2,0.28,282,145
Yuca fries,Fried vegetables,269,1.24,34.72,1.55,13.94,0,0.27,247,154
"Casabe, cassava bread","Biscuits, muffins, quick breads",299,2.54,71.22,3.18,0.52,0,0.5,507,1185
"Dasheen, cooked",Other starchy vegetables,141,1.57,27.55,0.42,2.95,2,0.58,616,142
"Taro, cooked",Other starchy vegetables,141,1.57,27.55,0.42,2.95,2,0.58,616,142
Fufu,Other starchy vegetables,166,1.5,33.59,1.1,2.99,2,0.43,449,143
Taro chips,"Tortilla, corn, other chips",498,2.3,68.1,3.82,24.9,0,1.2,755,342
"Beet greens, raw",Other dark green vegetables,22,2.2,4.33,0.5,0.13,0,2.57,762,226
"Beet greens, cooked",Other dark green vegetables,48,2.3,4.51,0.53,2.87,2,2.68,794,365
"Chard, raw",Other dark green vegetables,19,1.8,3.74,1.1,0.2,0,1.8,379,213
"Collards, raw",Other dark green vegetables,32,3.02,5.42,0.46,0.61,0,0.47,213,17
"Cress, raw",Other dark green vegetables,32,2.6,5.5,4.4,0.7,0,1.3,606,14
"Dandelion greens, raw",Other dark green vegetables,45,2.7,9.2,0.71,0.7,0,3.1,397,76
"Romaine lettuce, raw",Lettuce and lettuce salads,15,1.36,2.87,0.78,0.15,0,0.86,194,28
"Kale, raw",Other dark green vegetables,43,2.92,4.42,0.8,1.49,0,1.6,348,53
"Mustard greens, raw",Other dark green vegetables,27,2.86,4.67,1.32,0.42,0,1.64,384,20
"Poke greens, cooked",Other dark green vegetables,42,2.24,3.01,1.55,2.93,2,1.16,178,138
"Radicchio, raw",Lettuce and lettuce salads,23,1.43,4.48,0.6,0.25,0,0.57,302,22
"Spinach, raw",Spinach,27,2.85,2.41,0.42,0.62,0,1.26,582,111
"Watercress, raw",Other dark green vegetables,11,2.3,1.29,0.2,0.1,0,0.2,330,41
"Broccoli, raw",Broccoli,39,2.57,6.27,1.4,0.34,0,0.69,303,36
"Carrots, raw",Carrots,41,0.93,9.58,4.74,0.24,0,0.3,320,69
Beet juice,Vegetable juice,25,0.72,5.91,4.84,0.06,0,0.57,128,19
"Winter squash, raw",Other red and orange vegetables,26,1,6.5,2.76,0.1,0,0.8,340,1
"Sweet potato, NFS",Other red and orange vegetables,110,1.31,16.82,5.45,4.29,3,0.69,219,187
"Tomatoes, raw",Tomatoes,20,0.82,4.04,2.63,0.31,0,0.22,226,4
Ketchup,Tomato-based condiments,109,1.08,27.1,21.54,0.32,0,0.39,265,928
"Salsa, NFS",Tomato-based condiments,34,1.44,6.74,3.81,0.19,0,0.42,258,656
Taco sauce,Tomato-based condiments,11,1.16,0.72,0.12,0.68,0,1.04,115,570
Hot Thai sauce,Mustard and other condiments,74,1.03,16.58,16.07,0.66,0,0.94,103,2055
Spaghetti sauce,"Pasta sauces, tomato-based",51,1.41,8.05,5.5,1.48,2,0.78,319,419
Barbecue sauce,Tomato-based condiments,172,0.82,40.77,33.24,0.63,0,0.64,232,1027
Buffalo sauce,Mustard and other condiments,11,1.21,0.75,0.12,0.71,0,1.09,120,2917
Steak sauce,Tomato-based condiments,95,1.25,22.04,9.82,0.23,0,1.37,312,1647
Cocktail sauce,Tomato-based condiments,128,1.36,28.22,11.83,1.05,0,0.83,309,1262
"Sprouts, NFS",Other vegetables and combinations,30,3.04,5.94,4.13,0.18,0,0.91,149,6
